title;year;country;language;duration;director_name;budget;gross
Snatch;2000.0;UK;English;104.0;Guy Ritchie;6000000.0;30093107.0
Alice in Wonderland;2010.0;USA;English;108.0;Tim Burton;200000000.0;334185206.0
District B13;2004.0;France;French;84.0;Pierre Morel;12000000.0;1197786.0
Metropolis;1927.0;Germany;German;145.0;Fritz Lang;6000000.0;26435.0
The Puffy Chair;2005.0;USA;English;85.0;Jay Duplass;15000.0;192467.0
The League of Extraordinary Gentlemen;2003.0;USA;English;110.0;Stephen Norrington;78000000.0;66462600.0
The Damned United;2009.0;UK;English;98.0;Tom Hooper;10000000.0;449558.0
Joe Dirt;2001.0;USA;English;91.0;Dennie Gordon;17700000.0;27087695.0
Joyeux Noel;2005.0;France;French;116.0;Christian Carion;22000000.0;1050445.0
Mr 3000;2004.0;USA;English;104.0;Charles Stone III;30000000.0;21800302.0
Thor: The Dark World;2013.0;USA;English;112.0;Alan Taylor;170000000.0;206360018.0
The Pink Panther;2006.0;USA;English;93.0;Shawn Levy;65000000.0;82226474.0
Casino Royale;2006.0;UK;English;144.0;Martin Campbell;150000000.0;167007184.0
The Karate Kid;1984.0;USA;English;126.0;John G. Avildsen;8000000.0;90800000.0
I Am Love;2009.0;Italy;Italian;120.0;Luca Guadagnino;10000000.0;5004648.0
King Kong;2005.0;New Zealand;English;201.0;Peter Jackson;207000000.0;218051260.0
Jack and Jill;2011.0;USA;English;91.0;Dennis Dugan;79000000.0;74158157.0
Cavite;2005.0;Philippines;English;80.0;Neill Dela Llana;7000.0;70071.0
Teenage Mutant Ninja Turtles III;1993.0;USA;English;96.0;Stuart Gillard;17000000.0;42660000.0
Semi-Pro;2008.0;USA;English;99.0;Kent Alterman;55000000.0;33472850.0
